Wall time,Step,Value
1745039936.4570358,6595,1.0
1745039941.227913,6599,1.0
1745039960.2382214,6615,1.0
1745039976.8793752,6629,1.0
1745040000.741815,6649,1.0
1745040029.2429254,6673,1.0
1745040088.2461798,6708,1.0
1745040096.5637326,6715,1.0
1745040102.4985926,6720,1.0
1745040107.2513402,6724,1.0
1745040114.3761883,6730,1.0
1745040119.1333919,6734,1.0
1745040138.1559746,6750,1.0
1745040151.240839,6761,1.0
1745040169.052185,6776,1.0
1745040179.7508118,6785,1.0
1745040199.9235487,6802,1.0
1745040222.5104773,6821,1.0
1745040241.534601,6837,1.0
1745040247.4687946,6842,1.0
1745040249.8458247,6844,1.0
1745040256.971311,6850,1.0
1745040267.67371,6859,1.0
1745040286.6987393,6875,1.0
1745040333.024392,6914,1.0
1745040335.4003596,6916,1.0
1745040338.96353,6919,1.0
1745040352.027073,6930,1.0
1745040360.3524003,6937,1.0
1745040405.5179734,6975,1.0
1745040424.5435984,6991,1.0
1745040430.4779077,6996,1.0
1745040432.8518393,6998,1.0
1745040456.6203105,7018,1.0
1745040469.687355,7029,1.0
1745040487.5263896,7044,1.0
1745040499.5118525,7054,0.9375
1745040538.699818,7087,1.0
1745040574.307779,7117,1.0
1745040577.8648045,7120,1.0
1745040602.3945098,7126,1.0
1745040647.4887793,7164,1.0
1745040662.9263654,7177,1.0
1745040664.1113515,7178,1.0
1745040666.482614,7180,1.0
1745040673.600004,7186,1.0
1745040677.1597326,7189,1.0
1745040698.5303316,7207,1.0
1745040719.9007714,7225,1.0
1745040748.3913958,7249,1.0
1745040753.145635,7253,1.0
1745040767.3925078,7265,1.0
1745040778.0809178,7274,1.0
1745040811.308005,7302,1.0
1745040818.432236,7308,1.0
1745040849.2946382,7334,1.0
1745040854.0361204,7338,1.0
1745040856.4119425,7340,1.0
1745040871.8463123,7353,1.0
1745040877.775669,7358,1.0
1745040888.4450974,7367,1.0
1745040900.3236797,7377,1.0
1745040909.8136861,7385,1.0
1745040947.7735202,7417,1.0
1745040956.07617,7424,1.0
1745040969.1397588,7435,1.0
1745040970.3236716,7436,1.0
1745041003.552471,7464,1.0
1745041008.2923756,7468,1.0
1745041010.6655383,7470,1.0
1745041025.0175164,7482,1.0
1745041053.507846,7506,1.0
1745041067.745367,7518,1.0
1745041077.2314222,7526,1.0
1745041084.367158,7532,1.0
1745041114.8328881,7543,1.0
1745041124.3325062,7551,1.0
1745041126.7056682,7553,1.0
1745041133.8145833,7559,1.0
1745041174.1813197,7593,1.0
1745041182.4891515,7600,1.0
1745041184.860353,7602,1.0
1745041187.2317133,7604,1.0
1745041190.794592,7607,1.0
1745041227.5897398,7638,1.0
1745041228.7836792,7639,1.0
1745041234.7190385,7644,0.9375
1745041253.6885986,7660,1.0
1745041254.8708432,7661,1.0
1745041326.0856183,7721,1.0
1745041333.2013726,7727,1.0
1745041336.7603211,7730,1.0
1745041367.619011,7756,1.0
1745041373.5494711,7761,1.0
1745041412.7439668,7794,1.0
1745041413.9320438,7795,0.9375
1745041444.7831671,7821,1.0
1745041464.9360106,7838,1.0
1745041469.689765,7842,1.0
1745041479.1941037,7850,1.0
1745041485.1200876,7855,1.0
1745041486.307374,7856,1.0
1745041493.4247773,7862,1.0
1745041517.1558745,7882,1.0
1745041532.6875818,7895,1.0
1745041539.7992542,7901,1.0
1745041569.4679358,7926,1.0
1745041573.0273488,7929,1.0
1745041658.1721432,7986,1.0
1745041705.69513,8026,1.0
1745041709.2683995,8029,1.0
1745041710.4628494,8030,0.9375
1745041712.8411727,8032,1.0
1745041729.4648933,8046,1.0
1745041738.969848,8054,1.0
1745041766.2887554,8077,1.0
1745041767.4792273,8078,1.0
1745041788.8801303,8096,1.0
1745041819.8002918,8122,1.0
1745041843.5647097,8142,1.0
1745041845.9389713,8144,1.0
1745041868.506429,8163,1.0
1745041869.6913748,8164,1.0
1745041902.965212,8192,1.0
1745041912.462698,8200,1.0
1745041913.6509714,8201,1.0
1745041931.5073729,8216,1.0
1745041946.955343,8229,1.0
1745041948.1450179,8230,1.0
1745041977.8771381,8255,1.0
1745042004.032706,8277,1.0
1745042011.171633,8283,1.0
1745042014.7363493,8286,1.0
1745042015.9253666,8287,1.0
1745042020.6781764,8291,1.0
1745042026.6084936,8296,1.0
1745042032.544988,8301,1.0
1745042089.700328,8349,1.0
1745042093.2595665,8352,1.0
1745042106.331631,8363,1.0
1745042122.9401095,8377,1.0
1745042164.109783,8397,1.0
1745042180.73777,8411,1.0
1745042186.676161,8416,1.0
1745042235.4230187,8457,1.0
1745042240.17777,8461,1.0
1745042275.8253975,8491,1.0
1745042291.279413,8504,1.0
1745042311.5035799,8521,1.0
1745042322.213087,8530,1.0
1745042343.635736,8548,1.0
1745042350.7816193,8554,1.0
1745042361.484576,8563,1.0
1745042406.7003863,8601,1.0
1745042412.6472764,8606,1.0
1745042426.90886,8618,1.0
1745042429.2910767,8620,1.0
1745042430.4778745,8621,1.0
1745042437.6133537,8627,1.0
1745042475.6635702,8659,1.0
1745042480.4240105,8663,1.0
1745042517.2811518,8694,1.0
1745042524.4292052,8700,1.0
1745042539.8856206,8713,1.0
1745042545.8382294,8718,1.0
1745042552.9759374,8724,1.0
1745042576.8253715,8744,1.0
1745042586.3462799,8752,1.0
1745042588.718893,8754,1.0
1745042614.863681,8776,1.0
1745042617.2379901,8778,1.0
1745042629.11301,8788,1.0
1745042659.6054914,8799,1.0
1745042684.582583,8820,1.0
1745042688.1441784,8823,1.0
1745042700.0473065,8833,1.0
1745042738.0921648,8865,1.0
1745042744.0396752,8870,1.0
1745042752.3627877,8877,1.0
1745042765.4611602,8888,1.0
1745042772.5944686,8894,1.0
1745042780.924608,8901,1.0
1745042799.9628944,8917,1.0
1745042804.7244399,8921,1.0
1745042827.3332648,8940,1.0
1745042858.2596378,8966,1.0
1745042863.0157108,8970,1.0
1745042873.7122996,8979,1.0
1745042880.8576546,8985,1.0
1745042886.8147001,8990,1.0
1745042905.838335,9006,1.0
1745042937.9565349,9033,1.0
1745042957.0185757,9049,1.0
1745042967.7195125,9058,1.0
1745042976.052391,9065,1.0
1745042981.990562,9070,1.0
1745043037.9347482,9117,1.0
1745043042.6922958,9121,1.0
1745043079.568915,9152,1.0
1745043093.963238,9164,1.0
1745043124.8988202,9190,1.0
1745043128.4718504,9193,1.0
1745043136.8049784,9200,1.0
1745043140.373618,9203,1.0
1745043146.3189046,9208,1.0
1745043151.0803535,9212,1.0
1745043179.2908583,9221,1.0
1745043180.4913056,9222,1.0
1745043185.2636487,9226,1.0
1745043194.7791746,9234,1.0
1745043216.2079268,9252,1.0
1745043217.3964279,9253,1.0
1745043262.6264794,9291,1.0
1745043276.947504,9303,1.0
1745043279.328342,9305,1.0
1745043287.655891,9312,0.9375
1745043299.5611243,9322,1.0
1745043300.756677,9323,1.0
1745043305.5224996,9327,1.0
1745043312.6624844,9333,1.0
1745043316.2338803,9336,1.0
1745043326.9461498,9345,1.0
1745043335.2932706,9352,1.0
1745043343.638905,9359,1.0
1745043350.7858098,9365,1.0
1745043351.9795635,9366,1.0
1745043359.137229,9372,1.0
1745043365.1202872,9377,1.0
1745043377.036452,9387,1.0
1745043388.9541872,9397,1.0
1745043396.1264842,9403,1.0
1745043413.9888482,9418,1.0
1745043437.8266127,9438,1.0
1745043441.4014635,9441,1.0
1745043443.7886147,9443,1.0
1745043459.3001633,9456,1.0
1745043468.835776,9464,1.0
1745043475.9771972,9470,1.0
1745043478.3568254,9472,1.0
1745043497.4296627,9488,1.0
1745043498.6188333,9489,1.0
1745043499.809419,9490,1.0
1745043535.5667264,9520,1.0
1745043557.0391817,9538,1.0
1745043567.75684,9547,1.0
1745043578.5038743,9556,1.0
1745043590.4163632,9566,1.0
1745043596.377228,9571,1.0
1745043622.7036417,9593,1.0
1745043632.2528133,9601,1.0
1745043639.4068193,9607,1.0
1745043654.8834233,9620,1.0
1745043711.7531292,9653,1.0
1745043729.647509,9668,1.0
1745043733.2221627,9671,1.0
1745043734.412767,9672,1.0
1745043737.9912217,9675,1.0
1745043748.7236326,9684,1.0
1745043753.5165112,9688,1.0
1745043758.2827923,9692,1.0
1745043772.5850337,9704,1.0
1745043773.776336,9705,1.0
1745043782.1454406,9712,1.0
1745043810.7954204,9736,1.0
1745043813.1836014,9738,1.0
1745043831.077639,9753,1.0
1745043832.2719731,9754,1.0
1745043853.7551582,9772,1.0
1745043872.87733,9788,1.0
1745043884.8226316,9798,1.0
1745043902.7583117,9813,1.0
1745043915.9068575,9824,1.0
1745043931.4302728,9837,1.0
1745043946.9645357,9850,1.0
1745043967.2725565,9867,1.0
1745043975.6287403,9874,1.0
1745043999.5414984,9894,1.0
1745044007.8982112,9901,1.0
1745044011.4779818,9904,1.0
1745044025.8285282,9916,1.0
1745044027.020357,9917,1.0
1745044064.0699508,9948,1.0
1745044065.265013,9949,1.0
1745044066.4599202,9950,1.0
1745044078.4025316,9960,1.0
1745044093.9647746,9973,1.0
1745044101.1398408,9979,1.0
1745044110.7161858,9987,1.0
1745044117.8992436,9993,1.0
1745044219.2712111,10063,1.0
1745044251.5852787,10090,1.0
1745044288.6718302,10121,1.0
1745044293.4738963,10125,1.0
1745044294.670958,10126,1.0
1745044309.0098896,10138,1.0
1745044370.0110416,10189,1.0
1745044372.4030848,10191,1.0
1745044392.7242668,10208,1.0
1745044401.088193,10215,1.0
1745044413.060498,10225,1.0
1745044465.6851983,10269,1.0
1745044472.87939,10275,1.0
1745044478.85744,10280,1.0
1745044498.008188,10296,1.0
1745044506.4070737,10303,1.0
1745044545.9189572,10336,1.0
1745044553.1067426,10342,1.0
1745044556.693598,10345,1.0
1745044557.8896224,10346,1.0
1745044593.8667145,10376,1.0
1745044616.614481,10395,1.0
1745044627.4108431,10404,1.0
1745044640.6846678,10415,1.0
1745044676.6123083,10445,1.0
1745044683.8137975,10451,1.0
1745044685.0116923,10452,1.0
1745044692.1953144,10458,1.0
1745044761.2552493,10501,1.0
1745044781.6252668,10518,1.0
1745044809.1924236,10541,1.0
1745044821.162987,10551,1.0
1745044833.136639,10561,1.0
1745044847.5152617,10573,1.0
1745044857.0837457,10581,1.0
1745044875.055858,10596,1.0
1745044896.6242125,10614,1.0
1745044919.3813138,10633,1.0
1745044931.3732162,10643,1.0
1745044933.7683268,10645,1.0
1745045008.0130782,10707,1.0
1745045020.0250666,10717,1.0
1745045028.4094722,10724,1.0
1745045034.3972435,10729,1.0
1745045053.5859396,10745,1.0
1745045061.970983,10752,1.0
1745045063.1707697,10753,1.0
1745045077.5706925,10765,1.0
1745045084.7637637,10771,1.0
1745045114.7210789,10796,1.0
1745045130.313764,10809,1.0
1745045144.7093265,10821,1.0
1745045170.0016527,10842,1.0
1745045209.5905933,10875,1.0
1745045253.6814451,10897,1.0
1745045258.479545,10901,1.0
1745045266.8826704,10908,1.0
1745045283.6848168,10922,1.0
1745045337.7301888,10967,1.0
1745045348.544985,10976,1.0
1745045364.1413991,10989,1.0
1745045403.7341511,11022,1.0
1745045404.9332428,11023,1.0
1745045410.9262424,11028,1.0
1745045420.5373538,11036,1.0
1745045442.1639628,11054,1.0
1745045455.3740258,11065,1.0
1745045490.182613,11094,1.0
1745045519.0081468,11118,1.0
1745045526.2251315,11124,1.0
1745045527.4268045,11125,1.0
1745045534.6289496,11131,1.0
1745045537.0301938,11133,1.0
1745045568.2353842,11159,1.0
1745045581.4476256,11170,1.0
1745045627.0585713,11208,1.0
1745045631.8606384,11212,1.0
